/* DATA DESCRIPTION:
Citation:	WOCE Sea Surface Salinity, SSS (2005): Surface oceanographic data measured in the surface water of the Atlantic Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.314718
Keyword(s):	CO2BaseSleipner
Related to:	WOCE (2002): World Ocean Circulation Experiment, Global Data, Version 3.0. WOCE International Project Office, WOCE Report, Southampton, UK; published by U.S. National Oceanographic Data Center, Silver Spring, 180/02, DVD-ROM
Project(s):	World Ocean Circulation Experiment (WOCE) (URI: https://en.wikipedia.org/wiki/World_Ocean_Circulation_Experiment)
Coverage:	MEDIAN LATITUDE: 25.558145 * MEDIAN LONGITUDE: -35.178106 * SOUTH-BOUND LATITUDE: -34.600000 * WEST-BOUND LONGITUDE: -97.270000 * NORTH-BOUND LATITUDE: 67.900000 * EAST-BOUND LONGITUDE: 35.830000
	DATE/TIME START: 1990-01-01T00:30:00 * DATE/TIME END: 1998-12-31T23:30:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 5 m
Event(s):	NODC_SSS_Atlantic * DATE/TIME START: 1990-01-01T00:00:00 * DATE/TIME END: 1998-12-31T23:59:00 * METHOD/DEVICE: Thermosalinograph (TSG) * COMMENT: Position not given
Comment:	These data have been mainly collected on ships of opportunity (VOS). IRD has conducted this VOS network. Some other data have been retriewed from the NODC atlas (1998 onward).
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp)
	Salinity (Sal)
	Reference/source (Reference)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	145855 data points
*/
Date/Time	Latitude	Longitude	Depth water [m]	Temp [°C]	Sal	Reference
1990-01-01T00:30	3.80	6.80	0	27.90	30.430	SIRD
1990-01-01T00:30	5.00	-12.90	0	28.00	34.233	SIRD
1990-01-01T00:30	12.00	-44.30	0	25.30	35.504	SIRD
1990-01-01T02:30	38.70	-60.20	0	19.11	36.558	BNODC
1990-01-01T04:30	39.08	-60.62	0	19.26	36.580	BNODC
1990-01-01T05:30	39.10	-60.62	0	19.26	36.580	BNODC
1990-01-01T06:30	4.20	5.40	0	28.20	32.099	SIRD
1990-01-01T06:30	6.40	-13.90	0	28.60	34.736	SIRD
1990-01-01T08:30	39.47	-61.03	0	21.08	36.552	BNODC
1990-01-01T08:30	39.47	-61.00	0	21.08	36.552	BNODC
1990-01-01T12:30	5.30	4.10	0	29.00	34.125	SIRD
1990-01-01T18:30	-5.40	-2.10	0	25.30	36.258	SIRD
1990-01-01T18:30	8.10	-15.80	0	28.00	35.288	SIRD
1990-01-01T18:30	11.70	-25.50	0	25.00	36.052	SIRD
1990-01-02T00:30	6.10	3.50	0	27.90	34.548	SIRD
1990-01-02T00:30	10.50	-16.70	0	23.50	34.956	SIRD
1990-01-02T00:30	57.27	9.57	0	6.10	33.000	BNODC
1990-01-02T00:30	57.27	9.58	0	5.00	32.600	BNODC
1990-01-02T06:30	8.50	-26.90	0	27.00	35.963	SIRD
1990-01-02T06:30	11.90	-17.30	0	22.50	35.617	SIRD
1990-01-02T12:30	13.40	-17.50	0	23.00	35.840	SIRD
1990-01-02T18:30	5.30	-28.30	0	27.50	35.836	SIRD
1990-01-02T23:59	38.68	-59.22	0	19.59	36.639	BNODC
1990-01-03T00:30	57.62	10.28	0	6.80	33.700	BNODC
1990-01-03T00:30	57.63	10.27	0	7.80	33.900	BNODC
1990-01-03T06:30	1.70	-29.90	0	27.50	35.573	SIRD
1990-01-03T06:30	18.30	-17.50	0	20.80	36.165	SIRD
1990-01-03T12:30	19.90	-17.50	0	19.00	35.816	SIRD
1990-01-03T12:30	36.35	17.52	0	17.36	38.123	BNODC
1990-01-03T12:30	36.77	-57.87	0	19.21	36.572	BNODC
1990-01-03T15:30	36.05	-57.33	0	19.08	36.540	BNODC
1990-01-03T16:30	36.00	-57.33	0	19.08	36.540	BNODC
1990-01-03T18:30	-17.50	9.50	0	20.00	36.026	SIRD
1990-01-03T18:30	-1.40	-31.20	0	27.50	36.261	SIRD
