Planeta,Metodo,NumPlanetas,PeriodoOrbital,SemiejeMayor,Excentricidad,Inclinacion,MasaJup,RadioJup,Densidad,Distancia,MagnitudOptica,TempEfectiva,MasaEstelar,RadioEstelar,TamanoPlaneta,DistanciaCat,EdadEstrellaCat,MetodoSimplificado,TipoOrbita,SesgoTamano
11 Com b,Radial Velocity,1,326.03,1.29,0.231,,19.4,,,93.37,4.74,4742.0,2.7,19.0,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,,14.74,,,125.72,5.016,4213.0,2.78,29.79,,Medio,Media,VelocidadRadial,Circular,Subdetectado
14 And b,Radial Velocity,1,185.84,0.83,0.0,,4.8,,,75.59,5.227,4813.0,2.2,11.0,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
14 Her b,Radial Velocity,1,1773.40002,2.93,0.37,,4.66,,,17.94,6.61,5338.0,0.9,0.93,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,,1.78,,,21.41,6.25,5750.0,1.08,1.13,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
18 Del b,Radial Velocity,1,993.3,2.6,0.08,,10.3,,,76.38,5.506,4979.0,2.3,8.5,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
1RXS J160929.1-210524 b,Imaging,1,,330.0,,,8.0,,,145.0,,4060.0,0.85,,,Medio,Media,ImagenDirecta,Desconocida,Subdetectado
24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,,0.91,,,96.25,5.58,4893.0,0.99,10.64,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
24 Sex b,Radial Velocity,2,452.8,1.333,0.09,,1.99,,,72.21,6.441,5098.0,1.54,4.9,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
24 Sex c,Radial Velocity,2,883.0,2.08,0.29,,0.86,,,72.21,6.441,5098.0,1.54,4.9,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
2MASS J01225093-2439505 b,Imaging,1,,52.0,,,24.5,,,36.0,14.24,3530.0,0.4,,,Cercano,Fría,ImagenDirecta,Desconocida,Subdetectado
2MASS J02192210-3925225 b,Imaging,1,,156.0,,,13.9,1.44,,39.4,,3064.0,0.11,0.28,Mediano,Cercano,Fría,ImagenDirecta,Desconocida,Detectable
2MASS J04414489+2301513 b,Imaging,1,,15.0,,,7.5,,,140.0,,,0.02,,,Medio,,ImagenDirecta,Desconocida,Subdetectado
2MASS J12073346-3932539 b,Imaging,1,,46.0,,,4.0,,,52.4,20.15,,0.02,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.0,0.92,,,1.9,,,396.36,12.264,,0.48,,,Medio,,Otro,Desconocida,Subdetectado
2MASS J21402931+1625183 A b,Imaging,1,7336.5,,0.26,46.2,20.95,0.92,,25.0,,2300.0,0.08,0.12,Mediano,Cercano,Fría,ImagenDirecta,Moderada,Subdetectado
2MASS J22362452+4751425 b,Imaging,1,,230.0,,,12.5,,,74.0,12.51,4045.0,0.6,,,Cercano,Media,ImagenDirecta,Desconocida,Subdetectado
30 Ari B b,Radial Velocity,1,335.10001,0.99,0.29,,13.82,,,44.71,6.962,6331.0,1.93,1.41,,Cercano,Caliente,VelocidadRadial,Moderada,Subdetectado
4 UMa b,Radial Velocity,1,269.3,0.87,0.432,,7.1,,,73.58,4.61,4415.0,1.23,18.11,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
42 Dra b,Radial Velocity,1,479.1,1.19,0.38,,3.88,,,90.86,4.82,4200.0,0.98,22.03,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
47 UMa b,Radial Velocity,3,1078.0,2.1,0.032,,2.53,,,13.8,5.05,5892.0,1.03,1.23,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
47 UMa c,Radial Velocity,3,2391.0,3.6,0.098,,0.54,,,13.8,5.05,5892.0,1.03,1.23,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
47 UMa d,Radial Velocity,3,14002.0,11.6,0.16,,1.64,,,13.8,5.05,5892.0,1.03,1.23,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
51 Eri b,Imaging,1,,13.2,,,2.0,,,29.4,5.23,,1.75,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
51 Peg b,Radial Velocity,1,4.230785,0.0527,0.013,,0.472,,,15.47,5.5,5793.0,1.12,1.2,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc b,Radial Velocity,5,14.65152,0.115227,0.0034,90.0,0.8306,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc c,Radial Velocity,5,44.4175,0.241376,0.02,90.0,0.1714,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc d,Radial Velocity,5,4825.0,5.503,0.019,90.0,3.878,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc e,Radial Velocity,5,0.736539,0.01544,,83.3,0.02542,0.17,6.4,12.59,5.96,5196.0,0.91,0.94,Pequeño,Cercano,Media,VelocidadRadial,Desconocida,Subdetectado
55 Cnc f,Radial Velocity,5,262.0,0.788,0.305,90.0,0.141,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
6 Lyn b,Radial Velocity,1,934.3,2.11,0.073,,2.01,,,54.74,5.86,4938.0,1.44,5.2,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
61 Vir b,Radial Velocity,3,4.215,0.050201,0.12,,0.016,,,8.51,4.74,5577.0,0.94,0.96,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
61 Vir c,Radial Velocity,3,38.021,0.2175,0.14,,0.057,,,8.51,4.74,5577.0,0.94,0.96,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
61 Vir d,Radial Velocity,3,123.01,0.476,0.35,,0.072,,,8.51,4.74,5577.0,0.94,0.96,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
7 CMa b,Radial Velocity,1,796.0,1.93,0.22,,2.46,,,19.82,3.92,4792.0,1.52,2.3,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
70 Vir b,Radial Velocity,1,116.688,0.481,0.3988,,7.416,,,17.91,4.97,5495.0,1.09,1.89,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
75 Cet b,Radial Velocity,1,691.9,2.1,0.117,,3.0,,,83.15,5.35,4846.0,2.49,10.5,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
8 UMi b,Radial Velocity,1,93.4,0.49,0.06,,1.31,,,159.1,6.83,4847.0,1.44,10.3,,Medio,Media,VelocidadRadial,Circular,Subdetectado
81 Cet b,Radial Velocity,1,952.7,2.5,0.206,,5.3,,,101.53,5.65,4785.0,2.4,11.0,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
91 Aqr b,Radial Velocity,1,181.4,0.7,0.027,,3.2,,,44.08,4.25,4665.0,1.4,11.0,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
AB Pic b,Imaging,1,,260.0,,,13.5,,,50.12,9.128,,,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
BD+03 2562 b,Radial Velocity,1,481.9,1.3,0.2,,6.4,,,2618.0,9.58,4095.0,1.14,32.35,,Lejano,Media,VelocidadRadial,Moderada,Subdetectado
BD+14 4559 b,Radial Velocity,1,268.94,0.78,0.29,,1.04,,,49.42,9.63,4864.0,0.49,0.86,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
BD+15 2375 b,Radial Velocity,1,153.22,0.576,0.001,,1.061,,,774.0,10.31,4649.0,1.08,8.95,,Lejano,Media,VelocidadRadial,Circular,Subdetectado
