day,month,year,hour,lat,lon,mws,cpsl,r34,r5,rne,rnw,rsw,rse,rp
24,6,2010,18,15.9,-82,46.25,1007,-9999,639.5,805.22,983.47,521.18,725.81,758.9
25,6,2010,0,16,-82.1,46.25,1006,-9999,640.5,1105.73,1319.65,594.94,1313.03,1083.3
25,6,2010,6,16.1,-82.3,46.25,1006,-9999,641,732.55,888.67,762.36,685.23,767.2
25,6,2010,12,16.2,-82.5,55.5,1005,-9999,683.5,766.59,773.32,869.44,698.78,777
25,6,2010,18,16.4,-83.1,55.5,1005,-9999,685,791.56,1175.57,696.02,1187.78,962.7
26,6,2010,0,16.6,-83.9,55.5,1004,-9999,686.5,915.64,1173.62,787.36,1155.5,1008
26,6,2010,6,16.7,-84.9,74,1004,84,742,870.62,782.71,874.05,788.46,829
26,6,2010,12,16.9,-86.1,74,1004,84.5,743.5,837.12,775.85,1065.62,848.04,881.7
26,6,2010,18,17.2,-87.2,101.7,996,154,785.5,818.72,883.76,1005.71,955.63,916
27,6,2010,0,17.5,-88.2,101.7,995,154.5,788,828.32,1035.44,1046.97,949.56,965.1
27,6,2010,6,18,-89.1,101.7,991,156.5,792,766.27,877.16,948.72,827.45,854.9
27,6,2010,12,18.5,-90,83.25,992,114.5,773.5,647.88,867.29,974.15,818.29,826.9
27,6,2010,18,18.9,-90.7,64.75,993,55.5,734,553.98,971.12,978.59,787.49,822.8
28,6,2010,0,19.2,-91.1,74,991,89,760.5,728.71,855.62,887.98,798.99,817.8
28,6,2010,6,19.5,-91.4,74,991,89.5,763,901.69,972.79,1027.7,802.09,926.1
28,6,2010,12,20,-91.6,92.5,989,142.5,798,724.99,1230.52,891.38,943.02,947.5
28,6,2010,18,20.3,-91.7,92.5,990,143.5,800.5,815.28,1050.09,876.21,878.16,904.9
29,6,2010,0,20.7,-91.7,101.7,987,165,813,873.91,963.85,974.3,904.21,929.1
29,6,2010,6,21.5,-91.9,101.7,985,167.5,819,827.63,1029.2,1186.85,792.62,959.1
29,6,2010,12,22.4,-92.7,111,983,188,832.5,684.24,1234.6,1096.78,974.95,997.6
29,6,2010,18,22.9,-93.6,111,981,190,836.5,849.51,971.35,972.53,883.67,919.3
30,6,2010,0,23,-94.4,120.2,973,205,841,950.06,951.09,979.68,899.93,945.2
30,6,2010,6,23.1,-94.8,129.5,966,218,843,921.03,1031.8,1071.9,976.55,1000.3
30,6,2010,12,23.5,-95.2,138.7,958,230.5,845.5,855.36,1068.66,896.7,909.74,932.6
30,6,2010,15,24,-95.5,138.7,958,232.5,850,885.06,1132.79,907.9,915.83,960.4
30,6,2010,18,24.3,-96.2,148,962,242.5,849.5,886.77,1384.86,890.41,913.83,1019
1,7,2010,0,24.3,-97.3,166.5,948,255.5,840,673.35,1078.93,1134.99,1032.82,980
1,7,2010,2,24.2,-97.7,175.7,946,259.5,832,740.93,882.47,1125.11,984.65,933.3
1,7,2010,6,24.1,-98.4,138.7,963,232.5,850.5,774.65,1022.85,1044.98,701.74,886.1
1,7,2010,12,23.5,-99.5,111,977,192,841.5,862.5,1217.26,955.66,897.28,983.2
1,7,2010,18,23.1,-100.7,74,987,97.5,789.5,750.84,1511.57,831.07,845.95,984.9
2,7,2010,0,23.2,-101.9,55.5,997,-9999,732.5,656.97,1284.05,764.98,738.68,861.2
